Number Name,,20yy mm/dd,Phase,LPAB BPAB,,Period(h) P.E.,Amp,,A.E. Grp
162385 2000 BM19,,09 01/28-02/04,"7.9,76.9",160 37,,9.463 0.004,1.34,,0.03 NEA
162900 2001 HG31,,2008-2009,,,,,,,NEA
163000 2001 SW169,,08 09/06-10/02,"*9.4,20.4",350 -3,,80.2 0.2,0.39,,0.05 NEA
164716 1998 GH,,10 11/02-11/02,2.1,38 2,,2.66 0.02,0.10,,0.02 H
174599 2003 QM70,,10 10/31-11/01,"14.4,14.8",32 17,,32.1 0.6,0.21,,0.02 MC
175706 1996 FG3,,09 03/25-04/22,"*10.5,46.7",188 -7,,3.584 0.001,0.15,,0.03 NEA
184990 2006 KE89,,08 05/28-05/29,"34.7,35.0",223 45,,5.16 0.04,0.12,,0.03 NEA
185851 2000 DP107,,08 09/22-09/23,"44.2,41.3",24 4,,2.774 0.004,0.17,,0.01 NEA
185854 2000 EU106,,08 09/22-09/23,"12.9,12,2",15 6,,3.5 0.1,0.53,,0.04 MC
188452 2004 HE62,,08 09/07-09/07,60.5,326 43,,5.36 0.15,1.15,,0.01 NEA
194386 2001 VG5,,09 06/15-06/22,"11.5,15.9",255 6,,6.351 0.003,0.77,,0.03 NEA
207945 1991 JW,,09 04/18-05/17,"*32.6,19.0",226 11,,3.1499 0.0002,0.17,,0.02 NEA
208023 1999 AQ10,,09 01/30-02/04,"39.3,37.6",152 10,,6.28 0.01,0.17,,0.02 NEA
219071 1997 US9,,10 11/01-11/02,"17.9,17.3",50 -10,,3.319 0.003,0.14,,0.02 NEA
220124 2002 TE66,,10 04/07-04/09,"35.3,38.3",194 25,,3.89 0.01,0.16,,0.03 NEA
242211 2003 QB90,,10 09/03-09/14,"40.8,36.1",15 -9,,,,,NEA
242643 2005 NZ6,,08 05/18-05/18,66.1,187 -0,,,,,NEA
248818 2006 SZ217,,08 12/01-12/07,"19.2,25.4",72 -17,,3.59 0.01,0.11,,0.01 NEA
256412 2007 BT2,,09 03/27-04/22,"35.7,27.6",188 21,,,,,NEA
260141 2004 QT24,,11 04/13-04/14,"74.2,72.5",169 31,,7.660 0.004,0.77,,0.03 NEA
277039 2005 CF41,,08 05/26-05/27,"57.0,58.5",250 43,,16.2 0.2,0.30,,0.01 NEA
305090 2007 VQ4,,08 05/12-05/12,35.2,198 21,,2.69 0.02,0.14,,0.02 NEA
305090 2007 VQ4,,08 06/06-06/06,34.5,210 9,,2.61  0.05,0.13,,0.02 NEA
325769 2010 LY63,,10 09/30-10/13,"35.3,36.0",351 14,,,,,NEA
341843 2008 EV5,,08 12/29-12/29,31.5,109 12,,3.68 0.06,0.03,,0.01 NEA
341843 2008 EV5,,09 01/01-01/01,33.9,106 17,,3.71 0.06,0.05,,0.01 NEA
