Number Name,,2019 mm/dd,Phase,LPAB,BPAB,,Period(h),P.E.,Amp A.E.
2019 UC,,10/23-10/26,"18.7,28.8",20,-5,,4.60,0.02,0.11 0.03
"",,2,,,,T1,,,
2019 SH6,,12/16-01/04,"40.1,52.9",120,-6,,2.8903,0.0002,0.18 0.03
"",,,,,,T2,,,
"",,,,,,,3.0745,0.0002,0.18 0.03
"",,,,,,BF,,,
"",,,,,,,8.22,0.01,0.17 0.03
2019 UB11,,01/02-01/04,"29.5,28.6",82,-4,,7.2701,0.0006,0.80 0.06
2019 UR12,,11/02-11/02,31.9,23,-4,,0.2466,0.0002,0.33 0.04
2019 UD13,,11/02-11/02,6.1,39,3,,0.07067,0.00002,0.24 0.05
